,year,artists,duration_ms,name,popularity
18333,2013,['Lorde'],193059,Team,72
18334,2013,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",369627,Get Lucky (feat. Pharrell Williams & Nile Rodgers),72
18336,2013,['Unknown Mortal Orchestra'],230147,So Good At Being in Trouble,70
18346,2013,['Lady Gaga'],212333,Applause,72
18351,2013,"['Daft Punk', 'Julian Casablancas']",337560,Instant Crush (feat. Julian Casablancas),75
18354,2013,['Tom Odell'],193080,Heal,72
18355,2013,['The Neighbourhood'],193080,Wires,70
18356,2013,['Banda Los Recoditos'],163560,Mi Último Deseo,70
18359,2013,"['Ludovico Einaudi', 'Daniel Hope', 'I Virtuosi Italiani']",315427,Experience,73
18361,2013,['Katy Perry'],223546,Roar,73
18370,2013,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",252520,23,70
18375,2013,['Prince Royce'],206933,Darte un Beso,71
18388,2013,['One Direction'],188547,Half a Heart,71
18389,2013,"['Ariana Grande', 'Nathan Sykes']",327773,Almost Is Never Enough,72
18393,2013,['Britney Spears'],247960,Work Bitch,71
18394,2013,['Banda Tierra Sagrada'],204453,La Buena y la Mala,70
18396,2013,['One Direction'],176320,Midnight Memories,71
18399,2013,['Arctic Monkeys'],257563,Knee Socks,71
18403,2013,['One Direction'],200400,Right Now,71
18404,2013,['Woodkid'],213267,Run Boy Run,72
18405,2013,['Arctic Monkeys'],193030,Snap Out Of It,73
18406,2014,['Ariana Grande'],204093,Santa Tell Me,86
18407,2014,['J. Cole'],292987,No Role Modelz,84
18408,2014,['Vance Joy'],204280,Riptide,78
18409,2014,['J. Cole'],239320,Wet Dreamz,79
18410,2014,"['Ty Dolla $ign', 'The Weeknd', 'Wiz Khalifa', 'Mustard']",242983,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",80
18411,2014,['OneRepublic'],257840,Counting Stars,74
18412,2014,['Hozier'],241693,Take Me to Church,74
18413,2014,['Milky Chance'],313684,Stolen Dance,73
18414,2014,['Sam Smith'],172724,Stay With Me,82
18415,2014,['WALK THE MOON'],199080,Shut Up and Dance,80
18416,2014,['James Bay'],260533,Let It Go,73
18417,2014,['Alex & Sierra'],185200,Little Do You Know,80
18418,2014,['One Direction'],248360,18,81
18419,2014,['American Authors'],194240,Best Day Of My Life,78
18420,2014,['Sam Smith'],239317,I'm Not The Only One,82
18421,2014,['Labrinth'],287693,Jealous,79
18422,2014,['Maroon 5'],235493,Sugar,80
18423,2014,['Becky G'],206167,Shower,81
18424,2014,['Taylor Swift'],231827,Blank Space,71
18425,2014,['Ed Sheeran'],281560,Thinking out Loud,84
18426,2014,['Sam Hunt'],190240,House Party,72
18427,2014,['5 Seconds of Summer'],202496,She Looks So Perfect,71
18428,2014,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']",199387,Bang Bang,79
18429,2014,['Kenny Chesney'],182960,American Kids,71
18430,2014,['One Direction'],226600,Night Changes,78
18431,2014,['Mac DeMarco'],231724,Chamber Of Reflection,75
18432,2014,"['Disclosure', 'Sam Smith']",255867,Latch,70
18433,2014,"['Pitbull', 'Ne-Yo']",229360,Time of Our Lives,77
18434,2014,['J. Cole'],301133,G.O.M.D.,73
18435,2014,['Childish Gambino'],252026,Sober,73
18436,2014,['Bryce Vine'],252547,Sour Patch Kids,71
18437,2014,"['A Great Big World', 'Christina Aguilera']",229400,Say Something,77
18438,2014,['Calvin Harris'],222533,Summer,80
18439,2014,['Ed Sheeran'],258987,Photograph,84
18440,2014,['Taylor Swift'],219200,Shake It Off,70
18442,2014,['Ariana Grande'],197267,One Last Time,79
18443,2014,['George Ezra'],200733,Budapest,78
18444,2014,['TK from Ling tosite sigure'],238360,unravel,77
18445,2014,['Rixton'],193733,Me And My Broken Heart,77
18447,2014,"['ScHoolboy Q', 'Kendrick Lamar']",299960,Collard Greens,73
18448,2014,['Avicii'],176658,The Nights,82
18449,2014,['Cherub'],323253,Doses & Mimosas,70
18451,2014,"['Young Money', 'Drake']",188320,Trophies,72
18453,2014,['One Direction'],228133,Steal My Girl,78
18454,2014,['Maroon 5'],189960,Maps,77
18457,2014,['Sam Smith'],170964,Have Yourself A Merry Little Christmas,75
18458,2014,['Set It Off'],187880,Wolf in Sheep's Clothing (feat. William Beckett),71
18459,2014,['Bobby Shmurda'],194561,Hot N*gga,72
18460,2014,"['Calvin Harris', 'Ellie Goulding']",227267,Outside (feat. Ellie Goulding),80
18461,2014,"['G-Eazy', 'Remo']",236480,I Mean It (feat. Remo),73
18463,2014,['Andy Grammer'],199263,"Honey, I'm Good.",72
18464,2014,['Glass Animals'],289307,Gooey,71
18465,2014,['ScHoolboy Q'],216013,Man Of The Year,71
18466,2014,['Maroon 5'],231013,Animals,77
18469,2014,['Colt Ford'],224700,Workin' on,70
18470,2014,['MAGIC!'],224840,Rude,79
18472,2014,['TV Girl'],213920,Lovers Rock,70
18473,2014,['J. Cole'],211680,Love Yourz,70
18476,2014,['Coldplay'],267867,A Sky Full of Stars,78
18477,2014,"['Ariana Grande', 'The Weeknd']",236133,Love Me Harder,75
18480,2014,"['Ariana Grande', 'Iggy Azalea']",193920,Problem,75
18481,2014,"['Omarion', 'Chris Brown', 'Jhené Aiko']",226581,Post to Be (feat. Chris Brown & Jhene Aiko),72
18482,2014,"['Chris Brown', 'Lil Wayne', 'Tyga']",264947,Loyal (feat. Lil Wayne & Tyga),74
18483,2014,"['Aaron Smith', 'Krono', 'Luvli']",198053,Dancin (feat. Luvli) - Krono Remix,81
18487,2014,['STARSET'],288036,My Demons,74
18489,2014,['Birdy'],189475,Not About Angels,75
18490,2014,['Romeo Santos'],235133,Propuesta Indecente,76
18492,2014,['The Walters'],160254,I Love You So,70
18494,2014,['Porter Robinson'],328507,Goodbye To A World,71
18497,2014,"['Ariana Grande', 'Zedd']",214840,Break Free,75
18499,2014,['Home'],212881,Resonance,71
18500,2014,['SALES'],160000,Chinese New Year,73
18504,2014,"['Clean Bandit', 'Jess Glynne']",227833,Rather Be (feat. Jess Glynne),73
18514,2014,['John Mayer'],213627,XO,73
18518,2014,['Slipknot'],342821,The Devil in I,72
18520,2014,['Nico & Vinz'],245867,Am I Wrong,73
18521,2014,['The Weeknd'],252227,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",78
18525,2014,['Banda MS de Sergio Lizárraga'],190773,Háblame De Ti,72
18529,2014,"['Romeo Santos', 'Drake']",225000,Odio (feat. Drake),72
18530,2014,['Romeo Santos'],250640,Eres Mía,74
18534,2014,['Night Lovell'],206472,Dark Light,72
18543,2014,"['Mr. Probz', 'Robin Schulz']",208133,Waves - Robin Schulz Radio Edit,76
18546,2014,['One Direction'],199720,No Control,73
18547,2014,['The Script'],245467,Superheroes,76
18552,2014,"['Idina Menzel', 'Michael Bublé']",166147,Baby It's Cold Outside (duet with Michael Bublé),70
18553,2014,['One Direction'],214720,Stockholm Syndrome,72
18568,2014,"['DJ Snake', 'AlunaGeorge']",247267,You Know You Like It,71
18570,2014,"['Calvin Harris', 'John Newman']",212960,Blame (feat. John Newman),76
18572,2014,['One Direction'],210893,Fool's Gold,71
18574,2014,"['Kid Ink', 'Chris Brown']",217800,Show Me (feat. Chris Brown),70
18588,2014,['Austin Mahone'],213747,All I Ever Need,71
18589,2014,['Coldplay'],285014,Magic,73
18590,2014,['Lana Del Rey'],351640,Brooklyn Baby,70
18595,2014,['Ed Sheeran'],219840,Don't,72
18606,2015,['BØRNS'],218107,Electric Love,87
18607,2015,['The Neighbourhood'],260173,Daddy Issues,86
18608,2015,['Tame Impala'],216320,The Less I Know The Better,85
18609,2015,['Chris Stapleton'],293293,Tennessee Whiskey,79
18610,2015,['WILLOW'],196520,Wait a Minute!,83
18611,2015,['Lord Huron'],208212,The Night We Met,76
18612,2015,['The Weeknd'],242253,The Hills,83
18613,2015,['Bryson Tiller'],198293,Don't,79
18614,2015,['Melanie Martinez'],179867,Play Date,85
18615,2015,['Bryson Tiller'],194613,Exchange,78
18616,2015,['Thomas Rhett'],227427,Die A Happy Man,75
18617,2015,['blackbear'],245172,idfc,80
18618,2015,"['Mac Miller', 'Miguel']",208080,Weekend (feat. Miguel),76
18619,2015,['$uicideBoy$'],145078,Kill Yourself (Part III),79
18620,2015,['Twenty One Pilots'],202333,Stressed Out,84
18621,2015,"['Roy Woods', 'Drake']",251860,Drama (feat. Drake),77
18622,2015,['Rae Sremmurd'],212947,Come Get Her,77
18623,2015,['Fall Out Boy'],228360,Centuries,81
18624,2015,"['Mark Ronson', 'Bruno Mars']",269667,Uptown Funk (feat. Bruno Mars),82
18625,2015,"['Big Sean', 'E-40']",284387,I Don't Fuck With You,75
18626,2015,['Twenty One Pilots'],214507,Ride,81
18627,2015,['Cody Jinks'],229928,Loud and Heavy,73
18628,2015,['Jeremih'],238320,oui,75
18629,2015,"['Renée Elise Goldsberry', 'Original Broadway Cast of Hamilton']",329228,Satisfied,75
